word,classification,confidence,reason
करेेंगे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
उम्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
ह्म्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
हॉन्,INCORRECT,HIGH,Suspicious: ends with halant
जगह्,INCORRECT,HIGH,Suspicious: ends with halant
ऐेसे,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
रास्,INCORRECT,HIGH,Suspicious: ends with halant
संस्,INCORRECT,HIGH,Suspicious: ends with halant
आम्,INCORRECT,HIGH,Suspicious: ends with halant
जस्,INCORRECT,HIGH,Suspicious: ends with halant
हह्,INCORRECT,HIGH,Suspicious: ends with halant
फिल्,INCORRECT,HIGH,Suspicious: ends with halant
वगैरह्,INCORRECT,HIGH,Suspicious: ends with halant
अह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
बिल्कुल...,INCORRECT,HIGH,Invalid: triple character repetition
छुट्,INCORRECT,HIGH,Suspicious: ends with halant
माम्,INCORRECT,HIGH,Suspicious: ends with halant
मम्,INCORRECT,HIGH,Suspicious: ends with halant
दोस्,INCORRECT,HIGH,Suspicious: ends with halant
उमममम,INCORRECT,HIGH,Invalid: triple character repetition
हम्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
क्या...,INCORRECT,HIGH,Invalid: triple character repetition
क्योंकि...,INCORRECT,HIGH,Invalid: triple character repetition
ह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
मिनट्,INCORRECT,HIGH,Suspicious: ends with halant
मलब्,INCORRECT,HIGH,Suspicious: ends with halant
हाेता,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हर्,INCORRECT,HIGH,Suspicious: ends with halant
उमम्,INCORRECT,HIGH,Suspicious: ends with halant
अम्म...,INCORRECT,HIGH,Invalid: triple character repetition
हमममम,INCORRECT,HIGH,Invalid: triple character repetition
ममम,INCORRECT,HIGH,Invalid: triple character repetition
डर्,INCORRECT,HIGH,Suspicious: ends with halant
अम्म्,INCORRECT,HIGH,Suspicious: ends with halant
मेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ट्रेंड्,INCORRECT,HIGH,Suspicious: ends with halant
"हम्ममम,",INCORRECT,HIGH,Invalid: triple character repetition
और्,INCORRECT,HIGH,Suspicious: ends with halant
आपको...,INCORRECT,HIGH,Invalid: triple character repetition
तुम्,INCORRECT,HIGH,Suspicious: ends with halant
फैक्,INCORRECT,HIGH,Suspicious: ends with halant
विश्,INCORRECT,HIGH,Suspicious: ends with halant
रिश्तेेेदार,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
सोच्,INCORRECT,HIGH,Suspicious: ends with halant
उह्,INCORRECT,HIGH,Suspicious: ends with halant
मुश्,INCORRECT,HIGH,Suspicious: ends with halant
पेरेंट्,INCORRECT,HIGH,Suspicious: ends with halant
कुछ्,INCORRECT,HIGH,Suspicious: ends with halant
ऐसेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बस्,INCORRECT,HIGH,Suspicious: ends with halant
मैँम्,INCORRECT,HIGH,Suspicious: ends with halant
बहुत...,INCORRECT,HIGH,Invalid: triple character repetition
नहीें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
उसको...,INCORRECT,HIGH,Invalid: triple character repetition
हहहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
्,INCORRECT,HIGH,Suspicious: ends with halant
रिश्,INCORRECT,HIGH,Suspicious: ends with halant
स्वास्थ्,INCORRECT,HIGH,Suspicious: ends with halant
सात्,INCORRECT,HIGH,Suspicious: ends with halant
सिक्स्,INCORRECT,HIGH,Suspicious: ends with halant
ननन्दा,INCORRECT,HIGH,Invalid: triple character repetition
सस्,INCORRECT,HIGH,Suspicious: ends with halant
मैंने...,INCORRECT,HIGH,Invalid: triple character repetition
वस्,INCORRECT,HIGH,Suspicious: ends with halant
घर्,INCORRECT,HIGH,Suspicious: ends with halant
उउउ,INCORRECT,HIGH,Invalid: triple character repetition
है्,INCORRECT,HIGH,Suspicious: ends with halant
स्किल्,INCORRECT,HIGH,Suspicious: ends with halant
टीचर्,INCORRECT,HIGH,Suspicious: ends with halant
हाइलाइट्,INCORRECT,HIGH,Suspicious: ends with halant
आॉफिस,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
जीइइइ,INCORRECT,HIGH,Invalid: triple character repetition
क्लास्,INCORRECT,HIGH,Suspicious: ends with halant
वगेरह्,INCORRECT,HIGH,Suspicious: ends with halant
लगभग्,INCORRECT,HIGH,Suspicious: ends with halant
फ्रूट्,INCORRECT,HIGH,Suspicious: ends with halant
इच्,INCORRECT,HIGH,Suspicious: ends with halant
गैजेट्,INCORRECT,HIGH,Suspicious: ends with halant
हम्म्हम्म्,INCORRECT,HIGH,Suspicious: ends with halant
स्कूल्,INCORRECT,HIGH,Suspicious: ends with halant
फिर्,INCORRECT,HIGH,Suspicious: ends with halant
फील्,INCORRECT,HIGH,Suspicious: ends with halant
बार्,INCORRECT,HIGH,Suspicious: ends with halant
यार्,INCORRECT,HIGH,Suspicious: ends with halant
जैसे...,INCORRECT,HIGH,Invalid: triple character repetition
गर्मीों,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
डॉक्यूमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
वीकेंड्,INCORRECT,HIGH,Suspicious: ends with halant
डॉक्,INCORRECT,HIGH,Suspicious: ends with halant
मिस्,INCORRECT,HIGH,Suspicious: ends with halant
मदद्,INCORRECT,HIGH,Suspicious: ends with halant
ह्ह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
ग्रेजुेएशन,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमें...,INCORRECT,HIGH,Invalid: triple character repetition
मेम्,INCORRECT,HIGH,Suspicious: ends with halant
अख्ह...,INCORRECT,HIGH,Invalid: triple character repetition
आर्ट्,INCORRECT,HIGH,Suspicious: ends with halant
सिर्,INCORRECT,HIGH,Suspicious: ends with halant
देखाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमारी...,INCORRECT,HIGH,Invalid: triple character repetition
वेस्,INCORRECT,HIGH,Suspicious: ends with halant
हैे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बिल्कुल्,INCORRECT,HIGH,Suspicious: ends with halant
मह्,INCORRECT,HIGH,Suspicious: ends with halant
सेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बन्,INCORRECT,HIGH,Suspicious: ends with halant
टेक्,INCORRECT,HIGH,Suspicious: ends with halant
सी_एम्,INCORRECT,HIGH,Suspicious: ends with halant
लाइफ्,INCORRECT,HIGH,Suspicious: ends with halant
ं,INCORRECT,HIGH,Invalid: starts with vowel sign / nasal
आ्,INCORRECT,HIGH,Suspicious: ends with halant
दस्,INCORRECT,HIGH,Suspicious: ends with halant
तात्,INCORRECT,HIGH,Suspicious: ends with halant
पीरियड्,INCORRECT,HIGH,Suspicious: ends with halant
म्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
हैै,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
खर्,INCORRECT,HIGH,Suspicious: ends with halant
हेल्,INCORRECT,HIGH,Suspicious: ends with halant
मात्,INCORRECT,HIGH,Suspicious: ends with halant
हहममम,INCORRECT,HIGH,Invalid: triple character repetition
नहीं...,INCORRECT,HIGH,Invalid: triple character repetition
हुउउउ,INCORRECT,HIGH,Invalid: triple character repetition
आआआआ,INCORRECT,HIGH,Invalid: triple character repetition
म्म्,INCORRECT,HIGH,Suspicious: ends with halant
प्रोजेक्ट्,INCORRECT,HIGH,Suspicious: ends with halant
अद्,INCORRECT,HIGH,Suspicious: ends with halant
पहलेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
रहेेंगे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
गयाी,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हूँम्,INCORRECT,HIGH,Suspicious: ends with halant
एज्,INCORRECT,HIGH,Suspicious: ends with halant
डायरेक्ट्,INCORRECT,HIGH,Suspicious: ends with halant
नम्,INCORRECT,HIGH,Suspicious: ends with halant
लेक्,INCORRECT,HIGH,Suspicious: ends with halant
अहम्म...,INCORRECT,HIGH,Invalid: triple character repetition
एएएए,INCORRECT,HIGH,Invalid: triple character repetition
क्वेस्चन्,INCORRECT,HIGH,Suspicious: ends with halant
बोर्डस्,INCORRECT,HIGH,Suspicious: ends with halant
सिस्,INCORRECT,HIGH,Suspicious: ends with halant
काम्,INCORRECT,HIGH,Suspicious: ends with halant
रहेेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
प्रॉपर्,INCORRECT,HIGH,Suspicious: ends with halant
जोे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
फ़्रेंड्,INCORRECT,HIGH,Suspicious: ends with halant
हाँम्,INCORRECT,HIGH,Suspicious: ends with halant
खस्,INCORRECT,HIGH,Suspicious: ends with halant
हांन्,INCORRECT,HIGH,Suspicious: ends with halant
वगेरा...,INCORRECT,HIGH,Invalid: triple character repetition
चानसेस्,INCORRECT,HIGH,Suspicious: ends with halant
फोकस्,INCORRECT,HIGH,Suspicious: ends with halant
स्क्वायर्,INCORRECT,HIGH,Suspicious: ends with halant
टैलन्ट्,INCORRECT,HIGH,Suspicious: ends with halant
किस्,INCORRECT,HIGH,Suspicious: ends with halant
डिज़ाइनर्,INCORRECT,HIGH,Suspicious: ends with halant
हिन्,INCORRECT,HIGH,Suspicious: ends with halant
अद्भुत्,INCORRECT,HIGH,Suspicious: ends with halant
अनुभव...,INCORRECT,HIGH,Invalid: triple character repetition
चोविस्,INCORRECT,HIGH,Suspicious: ends with halant
साल्,INCORRECT,HIGH,Suspicious: ends with halant
बाद्,INCORRECT,HIGH,Suspicious: ends with halant
हाफ्,INCORRECT,HIGH,Suspicious: ends with halant
स्ट्रोक्स्,INCORRECT,HIGH,Suspicious: ends with halant
अत्,INCORRECT,HIGH,Suspicious: ends with halant
शशश,INCORRECT,HIGH,Invalid: triple character repetition
दुख्,INCORRECT,HIGH,Suspicious: ends with halant
हूं-हूं...,INCORRECT,HIGH,Invalid: triple character repetition
जशन्,INCORRECT,HIGH,Suspicious: ends with halant
ड्रिंक्,INCORRECT,HIGH,Suspicious: ends with halant
हम्म....।,INCORRECT,HIGH,Invalid: triple character repetition
टॉक्,INCORRECT,HIGH,Suspicious: ends with halant
जब्,INCORRECT,HIGH,Suspicious: ends with halant
फस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
चीज़ेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बट्,INCORRECT,HIGH,Suspicious: ends with halant
सुुबह,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बोल्,INCORRECT,HIGH,Suspicious: ends with halant
पुरानी...,INCORRECT,HIGH,Invalid: triple character repetition
मुुझे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
विचार्,INCORRECT,HIGH,Suspicious: ends with halant
जल्,INCORRECT,HIGH,Suspicious: ends with halant
मोमोस्,INCORRECT,HIGH,Suspicious: ends with halant
हिंदुस्,INCORRECT,HIGH,Suspicious: ends with halant
मातरम्,INCORRECT,HIGH,Suspicious: ends with halant
उह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
इश्,INCORRECT,HIGH,Suspicious: ends with halant
आफ्,INCORRECT,HIGH,Suspicious: ends with halant
जी...जी,INCORRECT,HIGH,Invalid: triple character repetition
मुस्,INCORRECT,HIGH,Suspicious: ends with halant
एट्,INCORRECT,HIGH,Suspicious: ends with halant
कुर्,INCORRECT,HIGH,Suspicious: ends with halant
फुुर,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हैैै,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हैैलो,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अअअ्,INCORRECT,HIGH,Invalid: triple character repetition
गेस्,INCORRECT,HIGH,Suspicious: ends with halant
कैेपिंग,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
एक्सपीरियंस्,INCORRECT,HIGH,Suspicious: ends with halant
वन्,INCORRECT,HIGH,Suspicious: ends with halant
नेक्स्,INCORRECT,HIGH,Suspicious: ends with halant
कुस्,INCORRECT,HIGH,Suspicious: ends with halant
गेर्बोलिन्,INCORRECT,HIGH,Suspicious: ends with halant
तर्,INCORRECT,HIGH,Suspicious: ends with halant
सप्,INCORRECT,HIGH,Suspicious: ends with halant
तोे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमारा...,INCORRECT,HIGH,Invalid: triple character repetition
पेेडल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
या...अगर,INCORRECT,HIGH,Invalid: triple character repetition
जिससे...,INCORRECT,HIGH,Invalid: triple character repetition
...थोड़ा,INCORRECT,HIGH,Invalid: triple character repetition
हांअअअ,INCORRECT,HIGH,Invalid: triple character repetition
हुममम,INCORRECT,HIGH,Invalid: triple character repetition
रेेटिंग,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मसिन्,INCORRECT,HIGH,Suspicious: ends with halant
होगा...,INCORRECT,HIGH,Invalid: triple character repetition
गोवर्,INCORRECT,HIGH,Suspicious: ends with halant
ट्वेल्,INCORRECT,HIGH,Suspicious: ends with halant
खत्,INCORRECT,HIGH,Suspicious: ends with halant
करेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
लग्जरीस्,INCORRECT,HIGH,Suspicious: ends with halant
करने...,INCORRECT,HIGH,Invalid: triple character repetition
कोस्,INCORRECT,HIGH,Suspicious: ends with halant
उम्ह्,INCORRECT,HIGH,Suspicious: ends with halant
डायरेक्,INCORRECT,HIGH,Suspicious: ends with halant
अटैच्,INCORRECT,HIGH,Suspicious: ends with halant
मिक्,INCORRECT,HIGH,Suspicious: ends with halant
क्राफ्ट्,INCORRECT,HIGH,Suspicious: ends with halant
ओह्,INCORRECT,HIGH,Suspicious: ends with halant
अअअ.,INCORRECT,HIGH,Invalid: triple character repetition
येस्,INCORRECT,HIGH,Suspicious: ends with halant
आन्,INCORRECT,HIGH,Suspicious: ends with halant
फ़ॉरन्,INCORRECT,HIGH,Suspicious: ends with halant
बिलकुल...,INCORRECT,HIGH,Invalid: triple character repetition
एपल्,INCORRECT,HIGH,Suspicious: ends with halant
लास्,INCORRECT,HIGH,Suspicious: ends with halant
जॉब्,INCORRECT,HIGH,Suspicious: ends with halant
पप्,INCORRECT,HIGH,Suspicious: ends with halant
करेेगा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
दूर्,INCORRECT,HIGH,Suspicious: ends with halant
यक्,INCORRECT,HIGH,Suspicious: ends with halant
हप्,INCORRECT,HIGH,Suspicious: ends with halant
वगैैह,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
मेरे...,INCORRECT,HIGH,Invalid: triple character repetition
काेई,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
नाइन्टीन्,INCORRECT,HIGH,Suspicious: ends with halant
शेेयर,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
परिवार्,INCORRECT,HIGH,Suspicious: ends with halant
हाहाहाहा......,INCORRECT,HIGH,Invalid: triple character repetition
अहहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
तस्,INCORRECT,HIGH,Suspicious: ends with halant
थे्,INCORRECT,HIGH,Suspicious: ends with halant
समझ्,INCORRECT,HIGH,Suspicious: ends with halant
मैम्,INCORRECT,HIGH,Suspicious: ends with halant
डिरेक्,INCORRECT,HIGH,Suspicious: ends with halant
साे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इंस्,INCORRECT,HIGH,Suspicious: ends with halant
सिंग्,INCORRECT,HIGH,Suspicious: ends with halant
एहहह,INCORRECT,HIGH,Invalid: triple character repetition
पैरेंट्,INCORRECT,HIGH,Suspicious: ends with halant
कंटिन्यूौसली,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
फिक्स्,INCORRECT,HIGH,Suspicious: ends with halant
बच्चे...,INCORRECT,HIGH,Invalid: triple character repetition
वह्,INCORRECT,HIGH,Suspicious: ends with halant
अममम,INCORRECT,HIGH,Invalid: triple character repetition
मजाक्,INCORRECT,HIGH,Suspicious: ends with halant
बेस्,INCORRECT,HIGH,Suspicious: ends with halant
समस्,INCORRECT,HIGH,Suspicious: ends with halant
एैप,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
मममम,INCORRECT,HIGH,Invalid: triple character repetition
रिजल्ट्,INCORRECT,HIGH,Suspicious: ends with halant
तरह्,INCORRECT,HIGH,Suspicious: ends with halant
चीज़...,INCORRECT,HIGH,Invalid: triple character repetition
वजह्,INCORRECT,HIGH,Suspicious: ends with halant
जाऊॅगी,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
स्नैक्,INCORRECT,HIGH,Suspicious: ends with halant
हाेपलेस,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
पट्,INCORRECT,HIGH,Suspicious: ends with halant
डेथ्,INCORRECT,HIGH,Suspicious: ends with halant
जिस्,INCORRECT,HIGH,Suspicious: ends with halant
हहम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
बिल्कुल....,INCORRECT,HIGH,Invalid: triple character repetition
अच्छाी,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मोमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
प्रॉब्,INCORRECT,HIGH,Suspicious: ends with halant
पारम्,INCORRECT,HIGH,Suspicious: ends with halant
आपकाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अनुभव्,INCORRECT,HIGH,Suspicious: ends with halant
अदर्,INCORRECT,HIGH,Suspicious: ends with halant
तक्,INCORRECT,HIGH,Suspicious: ends with halant
मन्,INCORRECT,HIGH,Suspicious: ends with halant
जिन्,INCORRECT,HIGH,Suspicious: ends with halant
हिस्,INCORRECT,HIGH,Suspicious: ends with halant
प्वाइंट्,INCORRECT,HIGH,Suspicious: ends with halant
जिद्,INCORRECT,HIGH,Suspicious: ends with halant
एयरबर्डस्,INCORRECT,HIGH,Suspicious: ends with halant
मुझे...,INCORRECT,HIGH,Invalid: triple character repetition
हेलो...,INCORRECT,HIGH,Invalid: triple character repetition
बॉयस्,INCORRECT,HIGH,Suspicious: ends with halant
अम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
अअह्,INCORRECT,HIGH,Suspicious: ends with halant
जरूरत्,INCORRECT,HIGH,Suspicious: ends with halant
फस्,INCORRECT,HIGH,Suspicious: ends with halant
केि,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
विपत्,INCORRECT,HIGH,Suspicious: ends with halant
ईईई,INCORRECT,HIGH,Invalid: triple character repetition
हम्हम्,INCORRECT,HIGH,Suspicious: ends with halant
नननन,INCORRECT,HIGH,Invalid: triple character repetition
गाँँव्,INCORRECT,HIGH,Suspicious: ends with halant
हाेपफुली,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
तब्,INCORRECT,HIGH,Suspicious: ends with halant
नाैकरी,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ऐैसा,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
सुब्,INCORRECT,HIGH,Suspicious: ends with halant
ईयरस्,INCORRECT,HIGH,Suspicious: ends with halant
कह्,INCORRECT,HIGH,Suspicious: ends with halant
लोगाें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
रेेट,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
वास्,INCORRECT,HIGH,Suspicious: ends with halant
हमलोग्,INCORRECT,HIGH,Suspicious: ends with halant
अहममम,INCORRECT,HIGH,Invalid: triple character repetition
हरेक्,INCORRECT,HIGH,Suspicious: ends with halant
राइट्,INCORRECT,HIGH,Suspicious: ends with halant
हमम्म्,INCORRECT,HIGH,Suspicious: ends with halant
फर्स्,INCORRECT,HIGH,Suspicious: ends with halant
पास्,INCORRECT,HIGH,Suspicious: ends with halant
ह्मन्,INCORRECT,HIGH,Suspicious: ends with halant
पेट्,INCORRECT,HIGH,Suspicious: ends with halant
देेती,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इइइ,INCORRECT,HIGH,Invalid: triple character repetition
ननन,INCORRECT,HIGH,Invalid: triple character repetition
टैक्,INCORRECT,HIGH,Suspicious: ends with halant
हाेते,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इसलिए...,INCORRECT,HIGH,Invalid: triple character repetition
गेमस्,INCORRECT,HIGH,Suspicious: ends with halant
थाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
आजकल...,INCORRECT,HIGH,Invalid: triple character repetition
ा,INCORRECT,HIGH,Invalid: starts with vowel sign / nasal
बच्चपन्,INCORRECT,HIGH,Suspicious: ends with halant
वॉइस्,INCORRECT,HIGH,Suspicious: ends with halant
मेंबर्,INCORRECT,HIGH,Suspicious: ends with halant
लेकिन...,INCORRECT,HIGH,Invalid: triple character repetition
हहमम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
छन्,INCORRECT,HIGH,Suspicious: ends with halant
पकवान्,INCORRECT,HIGH,Suspicious: ends with halant
एैसा,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
सुपरफास्,INCORRECT,HIGH,Suspicious: ends with halant
टक्,INCORRECT,HIGH,Suspicious: ends with halant
इसके...,INCORRECT,HIGH,Invalid: triple character repetition
जजज,INCORRECT,HIGH,Invalid: triple character repetition
फ्रेंडस्,INCORRECT,HIGH,Suspicious: ends with halant
जैसेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ऊपर्,INCORRECT,HIGH,Suspicious: ends with halant
अनप्लान्,INCORRECT,HIGH,Suspicious: ends with halant
उनकाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ट्रकस्,INCORRECT,HIGH,Suspicious: ends with halant
वर्ड्,INCORRECT,HIGH,Suspicious: ends with halant
एक्स्,INCORRECT,HIGH,Suspicious: ends with halant
